1,Sell Short,3/11/14 10:00, Sell ,@CL,$108.34 ,$0.00 ,1,"$2,089.62 ",1.95%,"$2,790.00 ",95.22%,,$0.19 ,$10.00 
,Buy to Cover,3/12/14 11:00,Exit Short,@CL,$106.23 ,,"$2,110.00 ","$2,089.62 ",,($140.00),76.79%,72.01%,$0.19 ,$10.00 
2,Sell Short,3/13/14 11:00, Sell ,@CL,$105.25 ,$0.00 ,1,($500.38),-0.46%,$10.00 ,2.04%,,$0.19 ,$10.00 
,Buy to Cover,3/13/14 11:00,Stop Loss,@CL,$105.73 ,,($480.00),"$1,589.24 ",,($480.00),0.00%,-97.96%,$0.19 ,$10.00 
3,Buy,3/14/14 16:00, Buy ,@CL,$106.35 ,$0.00 ,1,($260.38),-0.23%,$440.00 ,54.32%,,$0.19 ,$10.00 
,Sell,3/17/14 6:00,Exit Long,@CL,$106.11 ,,($240.00),"$1,328.86 ",,($370.00),16.05%,-29.63%,$0.19 ,$10.00 
4,Buy,3/26/14 10:00, Buy ,@CL,$107.87 ,$0.00 ,1,"$2,019.62 ",1.89%,"$2,590.00 ",93.84%,,$0.19 ,$10.00 
,Sell,3/28/14 13:00,Exit Long,@CL,$109.91 ,,"$2,040.00 ","$3,348.48 ",,($170.00),80.07%,73.91%,$0.19 ,$10.00 
5,Sell Short,4/1/14 11:00, Sell ,@CL,$109.20 ,$0.00 ,1,"$1,479.62 ",1.37%,"$2,120.00 ",99.53%,,$0.19 ,$10.00 
,Buy to Cover,4/2/14 13:00,Exit Short,@CL,$107.70 ,,"$1,500.00 ","$4,828.10 ",,($10.00),70.89%,70.42%,$0.19 ,$10.00 
6,Buy,4/11/14 10:00, Buy ,@CL,$111.73 ,$0.00 ,1,$79.62 ,0.09%,$930.00 ,80.87%,,$0.19 ,$10.00 
,Sell,4/11/14 16:00,Exit Long,@CL,$111.83 ,,$100.00 ,"$4,907.72 ",,($220.00),27.83%,8.70%,$0.19 ,$10.00 
7,Buy,4/21/14 11:00, Buy ,@CL,$112.80 ,$0.00 ,1,($400.38),-0.34%,$180.00 ,32.14%,,$0.19 ,$10.00 
,Sell,4/21/14 14:00,Stop Loss,@CL,$112.42 ,,($380.00),"$4,507.34 ",,($380.00),0.00%,-67.86%,$0.19 ,$10.00 
8,Buy,5/20/14 13:00, Buy ,@CL,$111.84 ,$0.00 ,1,"$1,399.62 ",1.27%,"$1,970.00 ",86.78%,,$0.19 ,$10.00 
,Sell,5/21/14 17:00,Exit Long,@CL,$113.26 ,,"$1,420.00 ","$5,906.96 ",,($300.00),75.77%,62.56%,$0.19 ,$10.00 
9,Buy,5/23/14 9:00, Buy ,@CL,$113.48 ,$0.00 ,1,$129.62 ,0.13%,$540.00 ,88.52%,,$0.19 ,$10.00 
,Sell,5/25/14 22:00,Exit Long,@CL,$113.63 ,,$150.00 ,"$6,036.58 ",,($70.00),36.07%,24.59%,$0.19 ,$10.00 
10,Sell Short,6/18/14 12:00, Sell ,@CL,$115.76 ,$0.00 ,1,($260.38),-0.21%,$390.00 ,60.00%,,$0.19 ,$10.00 
,Buy to Cover,6/19/14 0:00,Exit Short,@CL,$116.00 ,,($240.00),"$5,776.20 ",,($260.00),3.08%,-36.92%,$0.19 ,$10.00 
