RecordID,Date,00_00,00_05,00_10,00_15,00_20,00_25,00_30,00_35,00_40,00_45,00_50,00_55,01_00,01_05,01_10,01_15,01_20,01_25,01_30,01_35,01_40,01_45,01_50,01_55,02_00,02_05,02_10,02_15,02_20,02_25,02_30,02_35,02_40,02_45,02_50,02_55,03_00,03_05,03_10,03_15,03_20,03_25,03_30,03_35,03_40,03_45,03_50,03_55,04_00,04_05,04_10,04_15,04_20,04_25,04_30,04_35,04_40,04_45,04_50,04_55,05_00,17_05,17_10,17_15,17_20,17_25,17_30,17_35,17_40,17_45,17_50,17_55,18_00,18_05,18_10,18_15,18_20,18_25,18_30,18_35,18_40,18_45,18_50,18_55,19_00,19_05,19_10,19_15,19_20,19_25,19_30,19_35,19_40,19_45,19_50,19_55,20_00,20_05,20_10,20_15,20_20,20_25,20_30,20_35,20_40,20_45,20_50,20_55,21_00,21_05,21_10,21_15,21_20,21_25,21_30,21_35,21_40,21_45,21_50,21_55,22_00,22_05,22_10,22_15,22_20,22_25,22_30,22_35,22_40,22_45,22_50,22_55,23_00,23_05,23_10,23_15,23_20,23_25,23_30,23_35,23_40,23_45,23_50,23_55,16_05
59845,07/28/2023,79.69,79.72,79.70,79.71,79.72,79.72,79.72,79.79,79.78,79.79,79.81,79.83,79.85,79.81,79.85,79.86,79.91,79.91,79.89,79.89,79.95,79.93,79.90,79.91,79.91,79.99,80.03,80.06,80.08,80.09,80.12,80.08,80.17,80.10,80.15,80.14,79.99,80.01,80.03,80.01,79.88,79.85,79.94,79.93,79.83,79.87,79.98,79.93,79.96,80.01,79.85,79.90,79.91,79.91,79.88,79.82,79.83,79.80,79.84,79.85,79.89,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
59701,07/27/2023,79.64,79.63,79.61,79.58,79.59,79.56,79.52,79.52,79.49,79.49,79.52,79.50,79.49,79.42,79.44,79.48,79.51,79.40,79.40,79.37,79.41,79.40,79.43,79.41,79.38,79.53,79.44,79.53,79.55,79.56,79.62,79.62,79.70,79.71,79.56,79.51,79.43,79.53,79.41,79.48,79.48,79.41,79.49,79.42,79.42,79.44,79.30,79.38,79.53,79.59,79.62,79.63,79.65,79.65,79.67,79.71,79.72,79.74,79.70,79.68,79.64,79.76,79.70,79.71,79.73,79.74,79.73,79.74,79.77,79.74,79.75,79.70,79.73,79.69,79.68,79.71,79.72,79.69,79.67,79.64,79.65,79.64,79.60,79.64,79.62,79.55,79.62,79.62,79.63,79.61,79.54,79.53,79.51,79.55,79.65,79.61,79.65,79.72,79.69,79.65,79.68,79.70,79.71,79.78,79.81,79.82,79.85,79.80,79.81,79.73,79.66,79.62,79.67,79.64,79.66,79.63,79.61,79.65,79.66,79.68,79.73,79.69,79.70,79.73,79.74,79.79,79.81,79.82,79.82,79.77,79.71,79.72,79.75,79.74,79.75,79.66,79.66,79.68,79.66,79.68,79.71,79.71,79.69,79.66,""
59557,07/26/2023,79.18,79.18,79.19,79.11,79.13,79.11,79.14,79.14,79.13,79.11,79.17,79.16,79.14,79.15,79.17,79.25,79.21,79.23,79.28,79.26,79.23,79.26,79.22,79.27,79.25,79.31,79.33,79.31,79.30,79.37,79.50,79.53,79.49,79.46,79.46,79.48,79.48,79.42,79.28,79.37,79.37,79.24,79.08,79.13,79.23,79.22,79.26,79.20,79.16,79.15,79.01,79.12,79.15,79.13,79.01,79.02,79.00,78.99,78.97,78.89,78.80,78.92,78.93,78.92,78.90,78.94,78.94,78.95,78.97,78.97,78.97,78.97,78.96,78.96,78.97,78.96,78.98,78.99,78.98,78.98,79.03,79.01,79.00,79.01,79.01,79.01,79.05,78.98,78.97,78.98,78.99,78.98,79.00,79.02,79.06,79.15,79.17,79.28,79.40,79.39,79.34,79.36,79.45,79.44,79.40,79.47,79.46,79.51,79.54,79.58,79.62,79.58,79.60,79.57,79.59,79.60,79.62,79.60,79.55,79.55,79.60,79.64,79.65,79.68,79.64,79.70,79.69,79.71,79.68,79.69,79.67,79.68,79.68,79.69,79.71,79.70,79.68,79.67,79.65,79.66,79.64,79.64,79.63,79.65,""
59413,07/25/2023,78.96,78.97,79.00,78.97,79.01,79.01,79.03,79.01,79.04,78.95,78.91,78.94,78.97,78.96,78.98,78.97,79.03,79.06,79.01,79.01,79.03,78.99,78.98,78.89,78.96,79.00,79.01,79.02,78.97,78.80,78.80,78.80,78.68,78.70,78.72,78.67,78.62,78.67,78.69,78.66,78.78,78.78,78.78,78.52,78.39,78.43,78.45,78.48,78.56,78.50,78.52,78.50,78.64,78.64,78.67,78.74,78.78,78.72,78.72,78.67,78.63,79.29,79.36,79.29,79.32,79.36,79.36,79.33,79.30,79.29,79.27,79.25,79.26,79.28,79.26,79.26,79.26,79.25,79.24,79.25,79.27,79.30,79.28,79.31,79.30,79.29,79.33,79.35,79.33,79.34,79.38,79.35,79.32,79.28,79.24,79.26,79.29,79.32,79.31,79.33,79.27,79.23,79.23,79.26,79.27,79.26,79.34,79.31,79.41,79.38,79.35,79.31,79.28,79.29,79.29,79.28,79.26,79.34,79.37,79.34,79.35,79.37,79.36,79.37,79.31,79.23,79.23,79.27,79.25,79.25,79.26,79.27,79.27,79.27,79.30,79.27,79.29,79.30,79.30,79.27,79.26,79.16,79.19,79.17,""
59330,07/24/2023,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",78.89,78.89,78.86,78.85,78.86,78.84,78.85,78.86,78.85,78.85,78.85,78.83,78.84,78.86,78.86,78.88,78.86,78.88,78.88,78.88,78.87,78.87,78.86,78.86,78.83,78.83,78.84,78.85,78.84,78.85,78.86,78.86,78.82,78.91,78.92,78.92,78.94,79.00,79.02,78.92,78.89,78.95,78.89,78.92,78.75,78.82,78.85,78.86,78.83,78.88,78.91,78.91,78.90,78.93,78.96,79.01,78.94,78.93,78.96,78.96,78.94,78.89,78.90,78.89,78.87,78.88,78.89,78.90,78.92,78.92,78.98,78.96,78.95,78.96,78.96,78.95,78.96,78.96,78.96,78.98,78.99,78.97,78.96,""
59269,07/21/2023,76.31,76.29,76.27,76.26,76.23,76.25,76.28,76.30,76.31,76.33,76.27,76.25,76.27,76.28,76.29,76.34,76.31,76.37,76.42,76.37,76.37,76.35,76.35,76.34,76.40,76.38,76.39,76.36,76.31,76.44,76.43,76.40,76.38,76.48,76.49,76.45,76.45,76.27,76.17,76.13,76.21,76.21,76.23,76.24,76.15,76.21,76.12,76.12,76.18,76.22,76.34,76.51,76.54,76.57,76.61,76.45,76.46,76.58,76.55,76.55,76.58,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
59125,07/20/2023,75.30,75.33,75.31,75.33,75.34,75.34,75.29,75.30,75.30,75.29,75.31,75.31,75.34,75.34,75.23,75.19,75.22,75.26,75.27,75.23,75.30,75.37,75.32,75.33,75.37,75.25,75.33,75.35,75.37,75.42,75.29,75.44,75.43,75.28,75.31,75.23,75.21,75.29,75.45,75.42,75.52,75.58,75.66,75.58,75.45,75.47,75.61,75.63,75.63,75.59,75.63,75.54,75.45,75.40,75.38,75.46,75.39,75.37,75.40,75.39,75.35,75.78,75.77,75.78,75.76,75.75,75.76,75.76,75.78,75.78,75.77,75.77,75.76,75.78,75.78,75.78,75.77,75.79,75.81,75.82,75.81,75.83,75.83,75.82,75.84,75.77,75.75,75.73,75.75,75.76,75.75,75.72,75.74,75.73,75.74,75.78,75.77,75.88,75.87,75.84,75.91,75.89,75.91,76.00,76.00,76.02,76.08,76.06,76.15,76.18,76.28,76.36,76.35,76.43,76.42,76.37,76.38,76.37,76.36,76.36,76.34,76.31,76.24,76.19,76.20,76.22,76.25,76.28,76.23,76.25,76.24,76.26,76.25,76.22,76.23,76.23,76.24,76.27,76.28,76.27,76.25,76.28,76.29,76.31,""
58981,07/19/2023,75.36,75.38,75.37,75.36,75.40,75.41,75.42,75.43,75.45,75.48,75.46,75.53,75.59,75.59,75.60,75.63,75.54,75.52,75.52,75.57,75.57,75.53,75.60,75.65,75.64,75.56,75.56,75.51,75.49,75.50,75.50,75.47,75.33,75.42,75.47,75.54,75.53,75.55,75.68,75.58,75.70,75.67,75.75,75.73,75.83,75.89,76.00,76.15,76.08,76.06,76.13,76.06,76.12,76.05,76.03,75.98,75.90,75.91,75.93,75.93,75.89,75.33,75.24,75.22,75.25,75.22,75.23,75.22,75.22,75.19,75.20,75.21,75.21,75.22,75.21,75.20,75.19,75.16,75.18,75.17,75.16,75.18,75.19,75.18,75.19,75.15,75.22,75.26,75.26,75.23,75.25,75.22,75.21,75.27,75.25,75.22,75.24,75.33,75.34,75.30,75.41,75.42,75.45,75.50,75.52,75.52,75.43,75.44,75.43,75.50,75.40,75.41,75.39,75.38,75.38,75.40,75.35,75.37,75.38,75.38,75.47,75.42,75.40,75.42,75.43,75.43,75.43,75.41,75.41,75.40,75.41,75.38,75.39,75.38,75.39,75.40,75.39,75.38,75.39,75.38,75.33,75.34,75.32,75.32,""
58837,07/18/2023,74.34,74.37,74.34,74.37,74.35,74.33,74.31,74.31,74.35,74.28,74.28,74.27,74.28,74.27,74.16,74.20,74.18,74.22,74.21,74.23,74.23,74.22,74.21,74.20,74.17,74.05,74.07,73.98,73.99,73.93,73.90,73.84,73.98,74.06,74.20,74.06,74.04,74.03,74.05,74.14,74.01,74.17,74.27,74.35,74.32,74.33,74.28,74.19,74.26,74.28,74.21,74.21,74.25,74.38,74.50,74.50,74.49,74.55,74.59,74.64,74.61,75.75,75.76,75.68,75.76,75.75,75.73,75.75,75.76,75.73,75.76,75.76,75.77,75.75,75.74,75.74,75.74,75.70,75.72,75.71,75.70,75.72,75.72,75.74,75.73,75.73,75.67,75.65,75.62,75.67,75.66,75.63,75.63,75.58,75.60,75.59,75.61,75.69,75.65,75.71,75.64,75.63,75.58,75.64,75.63,75.63,75.61,75.59,75.61,75.52,75.49,75.51,75.49,75.46,75.46,75.45,75.47,75.45,75.50,75.45,75.39,75.41,75.46,75.46,75.44,75.46,75.45,75.43,75.41,75.33,75.34,75.34,75.35,75.35,75.37,75.34,75.33,75.34,75.32,75.34,75.35,75.38,75.35,75.36,""
58754,07/17/2023,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",74.06,74.05,74.10,74.03,74.03,74.04,74.04,74.03,74.02,74.03,74.04,74.03,74.00,74.02,74.01,74.01,74.04,74.05,74.07,74.06,74.03,74.08,74.08,74.15,74.16,74.15,74.20,74.25,74.25,74.25,74.23,74.21,74.20,74.24,74.26,74.23,74.25,74.33,74.33,74.40,74.40,74.39,74.39,74.31,74.23,74.25,74.27,74.28,74.22,74.23,74.25,74.24,74.23,74.21,74.20,74.21,74.23,74.24,74.24,74.29,74.29,74.31,74.32,74.37,74.40,74.39,74.41,74.41,74.42,74.40,74.35,74.36,74.37,74.35,74.36,74.34,74.37,74.36,74.36,74.35,74.34,74.37,74.34,""
