RecordID,Date,07_05,07_10,07_15,07_20,07_25,07_30,07_35,07_40,07_45,07_50,07_55,08_00,08_05,08_10,08_15,08_20,08_25,08_30,08_35,08_40,08_45,08_50,08_55,09_00,09_05,09_10,09_15,09_20,09_25,09_30,09_35,09_40,09_45,09_50,09_55,10_00,10_05,10_10,10_15,10_20,10_25,10_30,10_35,10_40,10_45,10_50,10_55,11_00,11_05,11_10,11_15,11_20,11_25,11_30,11_35,11_40,11_45,11_50,11_55,12_00,12_05,12_10,12_15,12_20,12_25,12_30,12_35,12_40,12_45,12_50,12_55,13_00
20086,08/16/2023,81.27,81.21,81.18,81.18,81.18,81.35,81.34,81.32,81.25,81.14,81.14,81.15,80.91,80.97,81.18,81.26,81.09,81.15,81.06,81.01,81.17,81.34,81.15,80.91,80.79,80.76,80.65,80.72,80.80,80.75,80.65,80.74,80.87,81.07,81.04,80.84,80.91,80.98,81.05,80.93,80.91,80.95,80.90,81.08,80.76,80.72,80.76,80.76,80.76,80.81,80.66,80.62,80.42,80.52,80.51,80.31,80.17,80.09,79.84,79.83,79.83,79.73,79.70,79.65,79.75,79.71,79.74,79.76,79.89,79.92,79.84,79.89
20014,08/15/2023,81.43,81.37,81.33,81.23,81.16,81.35,81.44,81.48,81.61,81.47,81.49,81.28,81.49,81.61,81.67,81.78,81.83,81.71,81.45,81.55,81.26,81.26,81.24,80.94,80.67,80.71,80.69,80.59,80.48,80.51,80.49,80.82,80.91,81.09,81.05,80.87,80.98,81.01,81.08,81.06,80.81,80.95,80.93,80.68,80.55,80.58,80.55,80.50,80.61,80.57,80.48,80.62,80.48,80.51,80.62,80.50,80.57,80.48,80.66,80.71,80.65,80.69,80.69,80.75,80.58,80.62,80.67,80.68,80.68,80.62,80.67,80.61
19942,08/14/2023,82.58,82.51,82.30,82.25,82.24,82.28,82.20,82.10,81.93,81.93,81.98,81.93,82.31,82.20,82.48,82.63,82.67,82.53,82.55,82.52,82.33,82.22,82.31,82.33,82.50,82.65,82.83,83.03,82.91,82.97,82.82,82.91,82.86,82.69,82.90,82.85,82.61,82.59,82.58,82.61,82.77,82.87,82.76,82.78,82.64,82.62,82.59,82.56,82.64,82.46,82.42,82.30,82.20,82.21,82.23,82.36,82.38,82.25,82.36,82.49,82.44,82.46,82.44,82.39,82.36,82.33,82.43,82.39,82.48,82.57,82.73,82.81
19870,08/11/2023,83.32,83.18,83.15,83.20,83.13,83.21,83.29,83.42,83.28,83.29,83.36,83.43,83.19,82.98,83.01,83.04,82.91,82.80,82.71,82.96,82.98,82.97,82.92,82.89,83.10,83.26,83.33,83.42,83.43,83.37,83.21,83.34,83.38,83.42,83.37,83.21,83.16,83.28,83.27,83.44,83.43,83.41,83.27,83.28,83.28,83.29,83.39,83.56,83.52,83.69,83.77,83.67,83.61,83.61,83.65,83.67,83.68,83.77,83.64,83.62,83.53,83.51,83.45,83.39,83.43,83.58,83.49,83.47,83.58,83.63,83.69,83.71
19798,08/10/2023,83.82,83.80,83.95,84.01,84.04,83.92,84.00,83.96,83.84,84.09,83.97,83.99,83.92,83.67,83.70,83.76,83.75,83.62,83.79,83.80,83.80,83.82,83.87,83.93,83.95,83.75,83.82,84.02,84.03,84.14,83.94,83.87,83.67,83.67,83.63,83.51,83.41,83.30,83.37,83.47,83.49,83.65,83.78,83.62,83.51,83.69,83.66,83.60,83.67,83.50,83.41,83.20,83.39,83.24,83.30,83.58,83.39,83.33,83.30,83.14,83.23,83.20,83.19,83.12,83.05,83.14,83.16,83.15,83.10,83.20,83.13,82.76
19726,08/09/2023,83.63,83.70,83.66,83.64,83.66,83.80,83.75,83.72,83.71,83.63,83.69,83.78,83.69,83.83,83.85,83.97,83.92,83.84,83.71,83.73,84.09,83.93,84.06,84.13,84.20,84.03,83.86,84.07,84.03,83.97,84.17,84.40,84.54,84.37,84.11,83.97,84.00,83.98,83.88,83.63,83.58,83.75,83.87,84.03,83.78,83.64,83.63,83.60,83.20,83.18,83.27,83.12,83.27,83.38,83.29,83.37,83.23,83.09,83.13,83.44,83.62,83.49,83.48,83.51,83.40,83.45,83.54,83.56,83.60,83.62,83.72,83.77
19654,08/08/2023,80.01,80.17,80.15,80.17,80.08,79.95,79.97,80.33,80.42,80.49,80.34,80.44,80.65,80.67,80.93,80.90,80.72,80.87,80.62,80.43,80.70,80.39,80.63,80.70,81.00,81.05,81.05,81.03,81.03,81.21,81.23,81.17,81.32,81.32,81.30,81.33,81.19,81.26,81.42,81.46,81.53,81.60,81.69,81.85,81.69,81.69,81.50,81.48,81.65,81.80,81.75,81.94,81.97,81.95,82.20,82.15,82.07,82.01,82.09,82.16,82.22,82.23,82.22,82.26,82.29,82.37,82.41,82.49,82.53,82.50,82.63,82.66
19582,08/07/2023,82.15,82.26,82.27,82.07,82.10,81.95,81.90,81.91,81.98,82.09,82.16,82.24,82.32,82.27,82.21,82.28,82.37,82.41,82.26,82.23,82.11,82.05,81.85,81.83,81.72,81.77,81.90,81.81,81.80,81.76,81.65,81.78,81.90,81.92,81.73,81.77,81.71,81.67,81.65,81.88,82.06,81.82,81.80,81.80,81.87,81.99,81.95,81.91,81.98,82.07,81.93,82.07,82.14,82.04,81.96,81.99,82.07,82.18,82.18,82.18,82.13,82.20,82.20,82.37,82.35,82.38,82.31,82.34,82.25,82.24,82.16,82.12
19510,08/04/2023,81.83,81.86,81.84,81.76,81.75,81.82,81.79,81.66,81.84,81.86,81.96,81.97,82.17,81.99,81.89,81.89,81.84,81.81,81.83,81.79,82.01,82.09,81.88,81.77,81.66,81.59,81.80,81.95,81.99,82.08,82.16,82.25,82.25,82.20,82.24,82.11,82.00,82.08,82.34,82.33,82.18,82.28,82.46,82.48,82.54,82.59,82.59,82.46,82.52,82.50,82.58,82.61,82.75,82.76,82.84,82.89,83.04,83.03,83.18,83.16,83.18,83.10,83.09,83.10,83.11,83.08,83.04,82.94,83.01,83.07,83.05,83.03
19438,08/03/2023,79.46,79.57,79.60,79.59,79.59,79.63,79.78,79.70,79.63,79.78,80.26,80.74,80.53,80.44,80.11,80.21,80.12,79.92,80.10,80.02,80.09,80.25,80.31,80.28,80.39,80.63,80.28,80.16,80.29,80.29,80.30,80.58,80.80,80.67,80.51,80.57,80.75,80.88,80.87,81.02,80.86,81.16,81.11,81.12,81.14,81.23,81.37,81.27,81.17,81.09,81.32,81.33,81.39,81.58,81.50,81.44,81.61,81.64,81.49,81.63,81.70,81.64,81.67,81.67,81.75,81.79,81.85,81.71,81.65,81.63,81.60,81.54
